2020-05-29 09:36:08.037968	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&files.file_type=bed+narrowPeak&award.project=ENCODE&field=%40id&field=accession&field=target.label&field=target.genes.symbol&field=dbxrefs&limit=all
ID	Accession	Target of assay	Target gene symbol	External resources
/experiments/ENCSR000EWF/	ENCSR000EWF	YY1	YY1	UCSC-ENCODE-hg19:wgEncodeEH000684,GEO:GSM935368,FactorBook:ENCSR000EWF
/experiments/ENCSR000DYS/	ENCSR000DYS	JUND	JUND	GEO:GSM1003634,UCSC-ENCODE-hg19:wgEncodeEH003370,FactorBook:ENCSR000DYS
/experiments/ENCSR000EGK/	ENCSR000EGK	IRF1	IRF1	UCSC-ENCODE-hg19:wgEncodeEH002799,FactorBook:ENCSR000EGK,GEO:GSM935505
/experiments/ENCSR000APF/	ENCSR000APF	CTCF	CTCF	FactorBook:ENCSR000APF,GEO:GSM733784,UCSC-ENCODE-hg19:wgEncodeEH001041
/experiments/ENCSR000EEL/	ENCSR000EEL	TBP	TBP	UCSC-ENCODE-hg19:wgEncodeEH001793,FactorBook:ENCSR000EEL,GEO:GSM935280
/experiments/ENCSR000FAV/	ENCSR000FAV	STAT1	STAT1	UCSC-ENCODE-hg19:wgEncodeEH000663,GEO:GSM935472,FactorBook:ENCSR000FAV
/experiments/ENCSR000EEE/	ENCSR000EEE	CEBPB	CEBPB	GEO:GSM935493,UCSC-ENCODE-hg19:wgEncodeEH001829,FactorBook:ENCSR000EEE
/experiments/ENCSR000EDC/	ENCSR000EDC	STAT3	STAT3	UCSC-ENCODE-hg19:wgEncodeEH001799,GEO:GSM935276,FactorBook:ENCSR000EDC
/experiments/ENCSR000DUG/	ENCSR000DUG	CTCF	CTCF	FactorBook:ENCSR000DUG,UCSC-ENCODE-hg19:wgEncodeEH000401,GEO:GSM749715
/experiments/ENCSR000DLO/	ENCSR000DLO	CTCF	CTCF	GEO:GSM822285,FactorBook:ENCSR000DLO,UCSC-ENCODE-hg19:wgEncodeEH000541
/experiments/ENCSR000BQO/	ENCSR000BQO	FOSL2	FOSL2	FactorBook:ENCSR000BQO,GEO:GSM1010748,UCSC-ENCODE-hg19:wgEncodeEH002310
/experiments/ENCSR000EHZ/	ENCSR000EHZ	NRF1	NRF1	FactorBook:ENCSR000EHZ,GEO:GSM1003630,UCSC-ENCODE-hg19:wgEncodeEH003374
/experiments/ENCSR000EUN/	ENCSR000EUN	ZNF274	ZNF274	FactorBook:ENCSR000EUN,GEO:GSM1003619,UCSC-ENCODE-hg19:wgEncodeEH003357
/experiments/ENCSR000DPF/	ENCSR000DPF	CTCF	CTCF	GEO:GSM1022640,UCSC-ENCODE-hg19:wgEncodeEH001890,FactorBook:ENCSR000DPF
/experiments/ENCSR000DLR/	ENCSR000DLR	MYC	MYC	GEO:GSM822291,FactorBook:ENCSR000DLR,UCSC-ENCODE-hg19:wgEncodeEH000545
/experiments/ENCSR000DYT/	ENCSR000DYT	SREBF2	SREBF2	UCSC-ENCODE-hg19:wgEncodeEH003363,GEO:GSM1003603,FactorBook:ENCSR000DYT
/experiments/ENCSR000EDJ/	ENCSR000EDJ	NRF1	NRF1	FactorBook:ENCSR000EDJ,UCSC-ENCODE-hg19:wgEncodeEH000723,GEO:GSM935636
/experiments/ENCSR000BRA/	ENCSR000BRA	CREB1	CREB1	GEO:GSM1010720,UCSC-ENCODE-hg19:wgEncodeEH002322,FactorBook:ENCSR000BRA
/experiments/ENCSR000EDU/	ENCSR000EDU	MXI1	MXI1	GEO:GSM935437,FactorBook:ENCSR000EDU,UCSC-ENCODE-hg19:wgEncodeEH002029
/experiments/ENCSR000DUX/	ENCSR000DUX	CTCF	CTCF	GEO:GSM749751,FactorBook:ENCSR000DUX,UCSC-ENCODE-hg19:wgEncodeEH000986
