751	ZNF407	2.3.4.0.73	ENCODE
752	ZNF416	2.3.3.0.127	ENCODE
753	ZNF423	2.3.4.12.1	ENCODE
754	ZNF426	2.3.4.0.64	ENCODE
755	ZNF433	2.3.3.0.224	ENCODE
756	ZNF444	2.3.3.0.24	ENCODE
757	ZNF449	2.3.3.0.41	ENCODE
758	ZNF473		ENCODE
759	ZNF48	2.3.4.0.48	ENCODE
760	ZNF488		ENCODE
761	ZNF491	2.3.4.0.62	ENCODE
762	ZNF493	2.3.3.0.229	ENCODE
763	ZNF501	2.3.3.0.87	ENCODE
764	ZNF507	2.3.4.0.24	ENCODE
765	ZNF510	2.3.4.25.6	ENCODE
766	ZNF511	2.3.2.4.2	ENCODE
767	ZNF512	2.3.4.10.1	ENCODE
768	ZNF512B	2.3.4.10.2	ENCODE
769	ZNF513	2.3.4.0.36	ENCODE
770	ZNF514	2.3.3.0.46	ENCODE
771	ZNF518A	2.3.4.18.1	ENCODE
772	ZNF521	2.3.4.12.2	ENCODE
773	ZNF524	2.3.3.15.1	ENCODE
774	ZNF529	2.3.3.0.145	ENCODE
775	ZNF530	2.3.3.0.153	ENCODE
776	ZNF544	2.3.3.58.2	ENCODE
777	ZNF547	2.3.3.0.97	ENCODE
778	ZNF548	2.3.3.53.1	ENCODE
779	ZNF549	2.3.3.0.180	ENCODE
780	ZNF555	2.3.3.33.19	ENCODE
781	ZNF558	2.3.3.43.1	ENCODE
782	ZNF560	2.3.3.0.177	ENCODE
783	ZNF561	2.3.3.45.3	ENCODE
784	ZNF571	2.3.3.67.5	ENCODE
785	ZNF574	2.3.4.22.2	ENCODE
786	ZNF577	2.3.3.30.2	ENCODE
787	ZNF580	2.3.2.4.3	ENCODE
788	ZNF584	2.3.3.0.67	ENCODE
789	ZNF585B	2.3.3.68.5	ENCODE
790	ZNF589	2.3.3.0.12	ENCODE
791	ZNF592	2.3.4.9.2	ENCODE
792	ZNF596	2.3.3.0.106	ENCODE
793	ZNF600	2.3.3.72.4	ENCODE
794	ZNF610	2.3.3.0.89	ENCODE
795	ZNF614	2.3.3.30.5	ENCODE
796	ZNF621	2.3.3.35.2	ENCODE
797	ZNF623	2.3.3.0.161	ENCODE
798	ZNF624	2.3.3.0.227	ENCODE
799	ZNF626	2.3.3.0.137	ENCODE
800	ZNF629	2.3.4.0.49	ENCODE
801	ZNF639	2.3.4.13.1	ENCODE
802	ZNF644	2.3.4.0.76	ENCODE
803	ZNF645		ENCODE
804	ZNF652	2.3.3.29.1	ENCODE
805	ZNF654	2.3.4.7.3	ENCODE
806	ZNF658	2.3.4.11.1	ENCODE
807	ZNF660	2.3.3.0.91	ENCODE
808	ZNF662	2.3.3.0.62	ENCODE
809	ZNF664	2.3.3.0.84	ENCODE
810	ZNF670	2.3.3.33.5	ENCODE
811	ZNF677	2.3.3.0.99	ENCODE
812	ZNF680	2.3.3.0.140	ENCODE
813	ZNF687	2.3.4.9.3	ENCODE
814	ZNF692	2.3.3.3.2	ENCODE
815	ZNF697	2.3.4.0.41	ENCODE
816	ZNF7	2.3.3.0.190	ENCODE
817	ZNF701	2.3.3.27.2	ENCODE
818	ZNF704		ENCODE
819	ZNF707	2.3.3.0.51	ENCODE
820	ZNF740	2.3.2.4.5	ENCODE
821	ZNF747		ENCODE
822	ZNF76	2.3.3.28.1	ENCODE
823	ZNF766	2.3.3.0.98	ENCODE
824	ZNF770	2.3.4.0.26	ENCODE
825	ZNF776	2.3.3.53.2	ENCODE
826	ZNF777	2.3.3.23.2	ENCODE
827	ZNF781	2.3.3.0.10	ENCODE
828	ZNF785	2.3.3.39.2	ENCODE
829	ZNF791	2.3.3.0.209	ENCODE
830	ZNF792	2.3.4.24.4	ENCODE
831	ZNF8	2.3.4.0.29	ENCODE
832	ZNF83	2.3.3.0.188	ENCODE
833	ZNF837	2.3.3.0.59	ENCODE
834	ZNF843		ENCODE
835	ZSCAN16	2.3.3.0.15	ENCODE
836	ZSCAN18		ENCODE
837	ZSCAN21	2.3.3.0.47	ENCODE
838	ZSCAN23	2.3.3.10.3	ENCODE
839	ZSCAN26	2.3.3.0.69	ENCODE
840	ZSCAN29	2.3.3.19.4	ENCODE
841	ZSCAN30	2.3.3.0.43	ENCODE
842	ZSCAN4	2.3.3.5.5	ENCODE
843	ZSCAN5A	2.3.3.5.1	ENCODE
844	ZSCAN5C	2.3.3.5.3	ENCODE
845	ZSCAN9	2.3.3.10.2	ENCODE
846	ZXDB	2.3.3.46.2	ENCODE
847	ZZZ3		ENCODE
