"125";"CG4707";"-";"ZF-C2H2";"7227"
"126";"CG4730";"-";"ZF-C2H2";"7227"
"127";"CG4820";"-";"ZF-C2H2";"7227"
"128";"CG4854";"-";"ZF-C2H2";"7227"
"129";"CG4936";"-";"ZF-C2H2";"7227"
"130";"CG5245";"-";"ZF-C2H2";"7227"
"131";"CG6254";"-";"ZF-C2H2";"7227"
"132";"CG6654";"-";"ZF-C2H2";"7227"
"133";"CG6689";"-";"ZF-C2H2";"7227"
"134";"CG6765";"-";"ZF-C2H2";"7227"
"135";"CG6791";"-";"ZF-C2H2";"7227"
"136";"CG6808";"-";"ZF-C2H2";"7227"
"137";"CG6813";"-";"ZF-C2H2";"7227"
"138";"CG7101";"-";"ZF-C2H2";"7227"
"139";"CG7271";"-";"ZF-C2H2";"7227"
"140";"CG7368";"-";"ZF-C2H2";"7227"
"141";"CG7386";"-";"ZF-C2H2";"7227"
"142";"CG7691";"-";"ZF-C2H2";"7227"
"143";"CG7963";"-";"ZF-C2H2";"7227"
"144";"CG7987";"-";"ZF-C2H2";"7227"
"145";"CG8089";"-";"ZF-C2H2";"7227"
"146";"CG8159";"-";"ZF-C2H2";"7227"
"147";"CG8301";"-";"ZF-C2H2";"7227"
"148";"CG8319";"-";"ZF-C2H2";"7227"
"149";"CG8388";"-";"ZF-C2H2";"7227"
"150";"CG8478";"-";"ZF-C2H2";"7227"
"151";"CG8944";"-";"ZF-C2H2";"7227"
"152";"CG9215";"-";"ZF-C2H2";"7227"
"153";"CG9609";"-";"ZF-C2H2";"7227"
"154";"CG9650";"-";"ZF-C2H2";"7227"
"155";"CG9890";"-";"ZF-C2H2";"7227"
"156";"CG9932";"-";"ZF-C2H2";"7227"
"157";"CG10147";"-";"ZF-C2H2";"7227"
"158";"CG10274";"-";"ZF-C2H2";"7227"
"159";"CG10321";"-";"ZF-C2H2";"7227"
"160";"CG10348";"lincRNA.186";"ZF-C2H2";"7227"
"161";"CG10366";"-";"ZF-C2H2";"7227"
"162";"CG10431";"-";"ZF-C2H2";"7227"
"163";"CG10462";"-";"ZF-C2H2";"7227"
"164";"CG10543";"-";"ZF-C2H2";"7227"
"165";"CG10631";"-";"ZF-C2H2";"7227"
"166";"CG10654";"-";"ZF-C2H2";"7227"
"167";"CG10669";"-";"ZF-C2H2";"7227"
"168";"CG10959";"-";"ZF-C2H2";"7227"
"169";"CG10979";"-";"ZF-C2H2";"7227"
"170";"CG11247";"-";"ZF-C2H2";"7227"
"171";"CG11398";"EG:BACR42I17.11";"ZF-C2H2";"7227"
"172";"CG11456";"-";"ZF-C2H2";"7227"
"173";"CG11560";"-";"ZF-C2H2";"7227"
"174";"CG11695";"-";"ZF-C2H2";"7227"
"175";"CG11696";"-";"ZF-C2H2";"7227"
"176";"CG11902";"-";"ZF-C2H2";"7227"
"177";"CG11906";"-";"ZF-C2H2";"7227"
"178";"CG12054";"-";"ZF-C2H2";"7227"
"179";"CG12071";"-";"ZF-C2H2";"7227"
"180";"CG12219";"BEST:LD26135";"ZF-C2H2";"7227"
