"207"	"Pou3f1"	"3.1.10.3.1"
"208"	"Pou3f2"	"3.1.10.3.2"
"209"	"Pou3f3"	"3.1.10.3.3"
"210"	"Pou3f4"	"3.1.10.3.4"
"211"	"Pou4f3"	"3.1.10.4.3"
"212"	"Pou6f1"	"3.1.10.6.1"
"213"	"Prop1"	"3.1.3.20.1"
"214"	"Prrx1"	"3.1.3.21.1"
"215"	"Prrx2"	"3.1.3.21.2"
"216"	"Rara"	"2.1.2.1.1"
"217"	"Rax"	"3.1.3.22.1"
"218"	"Rfx3"	"3.3.3.0.3"
"219"	"Rfx4"	"3.3.3.0.4"
"220"	"Rfxdc2"	"3.3.3.0.7"
"221"	"Rhox11"	""
"222"	"Rhox6"	""
"223"	"Rxra"	"2.1.3.1.1"
"224"	"Sfpi1"	"3.5.2.5.1"
"225"	"Shox2"	"3.1.3.25.2"
"226"	"Six1"	"3.1.6.1.1"
"227"	"Six2"	"3.1.6.1.2"
"228"	"Six3"	"3.1.6.2.1"
"229"	"Six4"	"3.1.6.3.1"
"230"	"Six6"	"3.1.6.2.2"
"231"	"Smad3"	"7.1.1.1.3"
"232"	"Sox11"	"4.1.1.3.2"
"233"	"Sox12"	"4.1.1.3.3"
"234"	"Sox13"	"4.1.1.4.3"
"235"	"Sox1"	"4.1.1.2.1"
"236"	"Sox14"	"4.1.1.2.4"
"237"	"Sox15"	"4.1.1.7.1"
"238"	"Sox17"	"4.1.1.6.2"
"239"	"Sox18"	"4.1.1.6.3"
"240"	"Sox21"	"4.1.1.2.5"
"241"	"Sox30"	"4.1.1.8.1"
"242"	"Sox4"	"4.1.1.3.1"
"243"	"Sox5"	"4.1.1.4.1"
"244"	"Sox7"	"4.1.1.6.1"
"245"	"Sox8"	"4.1.1.5.1"
"246"	"Sp100"	"5.3.5.2.1"
"247"	"Sp4"	"2.3.1.1.4"
"248"	"Spdef"	"3.5.2.7.1"
"249"	"Spic"	"3.5.2.5.3"
"250"	"Srf"	"5.1.2.0.1"
"251"	"Sry"	"4.1.1.1.1"
"252"	"Tbp"	"8.1.1.0.1"
"253"	"Tcf1"	"4.1.3.0.1"
