2431	NeuroD1_2	NeuroD1	MacIsaac	1.2.3.4.1
2432	NeuroD1_3	NeuroD1	MacIsaac	1.2.3.4.1
2433	RHD	RHD	MacIsaac	
2434	RHD_1	RHD	MacIsaac	
2435	RHD_2	RHD	MacIsaac	
2436	RHD_3	RHD	MacIsaac	
2437	RHD_4	RHD	MacIsaac	
2438	RHD_5	RHD	MacIsaac	
2439	bZIP	bZIP	MacIsaac	
2440	bZIP_1	bZIP	MacIsaac	
2441	bZIP_2	bZIP	MacIsaac	
2442	creb	creb	MacIsaac	1.1.7.1.1
2443	creb_1	creb	MacIsaac	1.1.7.1.1
2444	creb_2	creb	MacIsaac	1.1.7.1.1
2445	creb_3	creb	MacIsaac	1.1.7.1.1
2446	creb_4	creb	MacIsaac	1.1.7.1.1
2447	creb_5	creb	MacIsaac	1.1.7.1.1
2448	creb_6	creb	MacIsaac	1.1.7.1.1
2449	creb_7	creb	MacIsaac	1.1.7.1.1
2450	creb_8	creb	MacIsaac	1.1.7.1.1
2451	crel	crel	MacIsaac	6.1.1.2.3
2452	crel_1	crel	MacIsaac	6.1.1.2.3
2453	crel_2	crel	MacIsaac	6.1.1.2.3
2454	e2f4	e2f4	MacIsaac	3.3.2.1.4
2455	hnf3beta	hnf3beta	MacIsaac	3.3.1.1.2
2456	hnf3beta_1	hnf3beta	MacIsaac	3.3.1.1.2
2457	hnf4	hnf4	MacIsaac	2.1.3.2.1
2458	hnf4_1	hnf4	MacIsaac	2.1.3.2.1
2459	hnf4_2	hnf4	MacIsaac	2.1.3.2.1
2460	hnf4_3	hnf4	MacIsaac	2.1.3.2.1
2461	hnf4_4	hnf4	MacIsaac	2.1.3.2.1
2462	hnf4_5	hnf4	MacIsaac	2.1.3.2.1
2463	hnf4_6	hnf4	MacIsaac	2.1.3.2.1
2464	hnf4_7	hnf4	MacIsaac	2.1.3.2.1
2465	hnf6	hnf6	MacIsaac	3.1.9.1.1
2466	hnf6_1	hnf6	MacIsaac	3.1.9.1.1
2467	hnf6_2	hnf6	MacIsaac	3.1.9.1.1
2468	hnf6_3	hnf6	MacIsaac	3.1.9.1.1
2469	homeobox	homeobox	MacIsaac	3.1.8.5.5
2470	nanog	nanog	MacIsaac	3.1.2.12.1
2471	nanog_1	nanog	MacIsaac	3.1.2.12.1
2472	nanog_2	nanog	MacIsaac	3.1.2.12.1
2473	nanog_3	nanog	MacIsaac	3.1.2.12.1
2474	oct4	oct4	MacIsaac	3.1.10.5.1
2475	p52	p52	MacIsaac	6.1.1.1.2
2476	p52_1	p52	MacIsaac	6.1.1.1.2
2477	p52_2	p52	MacIsaac	6.1.1.1.2
2478	p65	p65	MacIsaac	6.1.1.2.1
2479	pou	pou	MacIsaac	3.1.10.1.1
2480	relb	relb	MacIsaac	6.1.1.2.2
2481	relb_1	relb	MacIsaac	6.1.1.2.2
2482	relb_2	relb	MacIsaac	6.1.1.2.2
2483	ARNTL_CLOCK	ARNTL_CLOCK	Smile-Seq	1.2.5.2.3::1.2.5.2.5
2484	CEBPB	CEBPB	Smile-Seq	1.1.8.1.2
2485	CTCF	CTCF	Smile-Seq	2.3.3.50.1
2486	EN1	EN1	Smile-Seq	3.1.2.7.1
2487	FLI1	FLI1	Smile-Seq	3.5.2.1.5
2488	FOSL2	FOSL2	Smile-Seq	1.1.2.1.4
2489	FOSL2	FOSL2	Smile-Seq	1.1.2.1.4
2490	FOXP2	FOXP2	Smile-Seq	3.3.1.16.2
2491	GABPA	GABPA	Smile-Seq	3.5.2.1.4
2492	GATA3	GATA3	Smile-Seq	2.2.1.1.3
2493	GCM1	GCM1	Smile-Seq	7.2.1.0.1
2494	JUNB	JUNB	Smile-Seq	1.1.1.1.2
2495	JUNB	JUNB	Smile-Seq	1.1.1.1.2
2496	JUNB_FOSB	JUNB_FOSB	Smile-Seq	1.1.1.1.2::1.1.2.1.2
2497	JUNB_FOSB	JUNB_FOSB	Smile-Seq	1.1.1.1.2::1.1.2.1.2
2498	JUNB_FOSL1	JUNB_FOSL1	Smile-Seq	1.1.2.1.2::1.1.2.1.3
2499	JUNB_FOSL2	JUNB_FOSL2	Smile-Seq	1.1.2.1.2::1.1.2.1.4
2500	JUNB_FOSL2	JUNB_FOSL2	Smile-Seq	1.1.2.1.2::1.1.2.1.4
2501	JUNB_FOS	JUNB_FOS	Smile-Seq	1.1.1.1.2::1.1.2.1.1
2502	JUND	JUND	Smile-Seq	1.1.1.1.3
2503	JUND	JUND	Smile-Seq	1.1.1.1.3
2504	JUND_FOSB	JUND_FOSB	Smile-Seq	1.1.1.1.3::1.1.2.1.2
2505	JUND_FOSL1	JUND_FOSL1	Smile-Seq	1.1.1.1.3::1.1.2.1.3
2506	JUND_FOSL1	JUND_FOSL1	Smile-Seq	1.1.1.1.3::1.1.2.1.3
2507	JUND_FOSL2	JUND_FOSL2	Smile-Seq	1.1.1.1.3::1.1.2.1.4
2508	JUND_FOSL2	JUND_FOSL2	Smile-Seq	1.1.1.1.3::1.1.2.1.4
2509	JUND_FOS	JUND_FOS	Smile-Seq	1.1.1.1.3::1.1.2.1.1
2510	JUN	JUN	Smile-Seq	1.1.1.1.1
2511	JUN	JUN	Smile-Seq	1.1.1.1.1
2512	JUN_FOSB	JUN_FOSB	Smile-Seq	1.1.1.1.1::1.1.2.1.2
2513	JUN_FOSB	JUN_FOSB	Smile-Seq	1.1.1.1.1::1.1.2.1.2
2514	JUN_FOSL1	JUN_FOSL1	Smile-Seq	1.1.1.1.1::1.1.2.1.3
2515	JUN_FOSL1	JUN_FOSL1	Smile-Seq	1.1.1.1.1::1.1.2.1.3
2516	JUN_FOSL2	JUN_FOSL2	Smile-Seq	1.1.1.1.1::1.1.2.1.4
2517	JUN_FOSL2	JUN_FOSL2	Smile-Seq	1.1.1.1.1::1.1.2.1.4
2518	JUN_FOS	JUN_FOS	Smile-Seq	1.1.1.1.1::1.1.2.1.1
2519	JUN_FOS	JUN_FOS	Smile-Seq	1.1.1.1.1::1.1.2.1.1
2520	JUN_JUNB	JUN_JUNB	Smile-Seq	1.1.1.1.1::1.1.2.1.2
2521	JUN_JUNB	JUN_JUNB	Smile-Seq	1.1.1.1.1::1.1.2.1.2
2522	LEF1	LEF1	Smile-Seq	4.1.3.0.4
2523	LHX6	LHX6	Smile-Seq	3.1.5.5.1
2524	MAX	MAX	Smile-Seq	1.2.6.5.5
2525	MYF6	MYF6	Smile-Seq	1.2.2.1.4
2526	NR1H4	NR1H4	Smile-Seq	2.1.2.7.3
2527	NR1H4_RXRA	NR1H4_RXRA	Smile-Seq	2.1.2.7.3::2.1.3.1.1
2528	NR1H4_RXRA	NR1H4_RXRA	Smile-Seq	2.1.2.7.3::2.1.3.1.1
2529	NR4A2	NR4A2	Smile-Seq	2.1.4.0.2
2530	NR4A2_RXRA	NR4A2_RXRA	Smile-Seq	2.1.4.0.1::2.1.3.1.1
2531	OCT4	OCT4	Smile-Seq	3.1.10.5.1
2532	PAX7	PAX7	Smile-Seq	3.2.1.1.2
2533	PPARA_RXRA	PPARA_RXRA	Smile-Seq	2.1.2.5.1::2.1.3.1.1
2534	PPARG	PPARG	Smile-Seq	2.1.2.5.3
