349	MA1461.1	sv	Jaspar	552
350	MA0247.2	tin	Jaspar	485
351	MA0459.1	tll	Jaspar	508
352	MA0205.2	Trl	Jaspar	341
353	MA0460.1	ttk	Jaspar	343
354	MA0248.1	tup	Jaspar	448
355	MA0249.2	twi	Jaspar	58
356	MA0094.2	Ubx	Jaspar	439
357	MA0250.1	unc-4	Jaspar	576
358	MA0251.1	unpg	Jaspar	486
359	MA0016.1	usp	Jaspar	509
360	MA1462.1	vfl	Jaspar	353
361	MA0252.1	vis	Jaspar	616
362	MA0253.1	vnd	Jaspar	487
363	MA0181.1	Vsx1	Jaspar	577
364	MA0180.1	Vsx2	Jaspar	578
365	MA0254.1	vvl	Jaspar	596
366	MA0255.1	z	Jaspar	459
367	MA0256.1	zen	Jaspar	440
368	MA0257.1	zen2	Jaspar	441
369	ab_SANGER_10_FBgn0259750	ab	Flyvector	82
370	ab_SOLEXA_5_FBgn0259750	ab	Flyvector	82
371	Abd-A_FlyReg_FBgn0000014	Abd-A	Flyvector	425
372	Abd-B_FlyReg_FBgn0000015	Abd-B	Flyvector	426
373	AbdA_Cell_FBgn0000014	AbdA	Flyvector	425
374	AbdA_SOLEXA_FBgn0000014	AbdA	Flyvector	425
375	AbdB_Cell_FBgn0000015	AbdB	Flyvector	426
376	AbdB_SOLEXA_FBgn0000015	AbdB	Flyvector	426
377	ac_da_SANGER_5_FBgn0000022	ac_da	Flyvector	2
378	ac_da_SANGER_5_FBgn0000413	ac_da	Flyvector	2
379	Achi_Cell_FBgn0033749	Achi	Flyvector	609
380	Achi_SOLEXA_FBgn0033749	Achi	Flyvector	609
381	acj6_SOLEXA_5_FBgn0000028	acj6	Flyvector	592
382	Adf1_FlyReg_FBgn0000054	Adf1	Flyvector	449
383	Adf1_SANGER_5_FBgn0000054	Adf1	Flyvector	449
384	Aef1_FlyReg_FBgn0005694	Aef1	Flyvector	83
385	Aef1_SANGER_5_FBgn0005694	Aef1	Flyvector	83
386	Aef1_SOLEXA_FBgn0005694	Aef1	Flyvector	83
387	Al_Cell_FBgn0000061	Al	Flyvector	560
388	Al_SOLEXA_FBgn0000061	Al	Flyvector	560
389	amos_da_SANGER_10_FBgn0000413	amos_da	Flyvector	3
390	amos_da_SANGER_10_FBgn0003270	amos_da	Flyvector	3
391	Antp_Cell_FBgn0000095	Antp	Flyvector	427
392	Antp_FlyReg_FBgn0000095	Antp	Flyvector	427
393	Antp_SOLEXA_FBgn0000095	Antp	Flyvector	427
394	aop_SANGER_10_FBgn0000097	aop	Flyvector	367
395	Ap_Cell_FBgn0000099	Ap	Flyvector	442
396	ap_FlyReg_FBgn0000099	ap	Flyvector	442
397	Ap_SOLEXA_FBgn0000099	Ap	Flyvector	442
398	Ara_Cell_FBgn0015904	Ara	Flyvector	610
399	Ara_SOLEXA_FBgn0015904	Ara	Flyvector	610
400	ase_da_SANGER_10_FBgn0000137	ase_da	Flyvector	4
401	ase_da_SANGER_10_FBgn0000413	ase_da	Flyvector	4
402	Atf-2_SANGER_5_FBgn0050420	Atf-2	Flyvector	61
403	Atf6_SANGER_5_FBgn0033010	Atf6	Flyvector	63
404	ato_da_SANGER_10_FBgn0000413	ato_da	Flyvector	5
405	ato_da_SANGER_10_FBgn0010433	ato_da	Flyvector	5
406	ato_da_SANGER_5_2_FBgn0000413	ato_da	Flyvector	5
407	ato_da_SANGER_5_2_FBgn0010433	ato_da	Flyvector	5
408	ato_da_SANGER_5_3_FBgn0000413	ato_da	Flyvector	5
409	ato_da_SANGER_5_3_FBgn0010433	ato_da	Flyvector	5
410	Awh_Cell_FBgn0013751	Awh	Flyvector	443
411	Awh_SOLEXA_FBgn0013751	Awh	Flyvector	443
412	bab1_FlyReg_FBgn0004870	bab1	Flyvector	579
413	bab1_SANGER_5_FBgn0004870	bab1	Flyvector	579
414	Bap_Cell_FBgn0004862	Bap	Flyvector	458
415	Bap_SOLEXA_FBgn0004862	Bap	Flyvector	458
416	Bcd_Cell_FBgn0000166	Bcd	Flyvector	428
417	bcd_FlyReg_FBgn0000166	bcd	Flyvector	428
418	bcd_NAR_FBgn0000166	bcd	Flyvector	428
419	Bcd_SOLEXA_FBgn0000166	Bcd	Flyvector	428
420	BH1_Cell_FBgn0011758	BH1	Flyvector	459
421	BH1_SOLEXA_FBgn0011758	BH1	Flyvector	459
422	BH2_Cell_FBgn0004854	BH2	Flyvector	460
423	BH2_SOLEXA_FBgn0004854	BH2	Flyvector	460
424	bin_FlyReg_FBgn0045759	bin	Flyvector	375
425	bin_SANGER_5_FBgn0045759	bin	Flyvector	375
426	Blimp-1_NAR_FBgn0035625	Blimp-1	Flyvector	87
427	Blimp-1_SANGER_5_FBgn0035625	Blimp-1	Flyvector	87
428	Blimp-1_SOLEXA_FBgn0035625	Blimp-1	Flyvector	87
429	bowl_SANGER_5_FBgn0004893	bowl	Flyvector	88
430	bowl_SOLEXA_FBgn0004893	bowl	Flyvector	88
431	br-PA_SANGER_5_FBgn0000210	br-PA	Flyvector	513
432	br-PA_SOLEXA_FBgn0000210	br-PA	Flyvector	513
433	br-PE_SANGER_5_FBgn0000210	br-PE	Flyvector	513
434	br-PE_SOLEXA_FBgn0000210	br-PE	Flyvector	513
435	br-PL_SANGER_5_FBgn0000210	br-PL	Flyvector	513
436	br-PL_SOLEXA_FBgn0000210	br-PL	Flyvector	513
437	br-Z1_FlyReg_FBgn0000210	br-Z1	Flyvector	513
438	br-Z2_FlyReg_FBgn0000210	br-Z2	Flyvector	513
439	br-Z3_FlyReg_FBgn0000210	br-Z3	Flyvector	513
440	br-Z4_FlyReg_FBgn0000210	br-Z4	Flyvector	513
441	br_SANGER_10_FBgn0000210	br	Flyvector	89
442	br_SOLEXA_10_FBgn0000210	br	Flyvector	89
443	brk_FlyReg_FBgn0024250	brk	Flyvector	513
444	Bsh_Cell_FBgn0000529	Bsh	Flyvector	461
445	Bsh_SOLEXA_FBgn0000529	Bsh	Flyvector	461
446	BtbVII_SANGER_5_FBgn0012049	BtbVII	Flyvector	581
447	btd_NAR_FBgn0000233	btd	Flyvector	91
448	Bteb2_SANGER_2.5_FBgn0025679	Bteb2	Flyvector	275
449	Bteb2_SOLEXA_2.5_FBgn0025679	Bteb2	Flyvector	275
450	Btn_Cell_FBgn0014949	Btn	Flyvector	429
451	Btn_SOLEXA_FBgn0014949	Btn	Flyvector	429
452	byn_FlyReg_FBgn0011723	byn	Flyvector	618
453	C15_Cell_FBgn0004863	C15	Flyvector	462
454	C15_SOLEXA_FBgn0004863	C15	Flyvector	462
455	Cad_Cell_FBgn0000251	Cad	Flyvector	430
456	cad_FlyReg_FBgn0000251	cad	Flyvector	430
457	Cad_SOLEXA_FBgn0000251	Cad	Flyvector	430
458	cato_da_SANGER_10_FBgn0000413	cato_da	Flyvector	7
459	cato_da_SANGER_10_FBgn0024249	cato_da	Flyvector	7
460	Caup_Cell_FBgn0015919	Caup	Flyvector	611
461	Caup_SOLEXA_FBgn0015919	Caup	Flyvector	611
462	Cf2-II_FlyReg_FBgn0000286	Cf2-II	Flyvector	95
463	Cf2-PA_SANGER_2.5_FBgn0000286	Cf2-PA	Flyvector	95
464	Cf2-PA_SOLEXA_FBgn0000286	Cf2-PA	Flyvector	95
465	Cf2-PB_SANGER_5_FBgn0000286	Cf2-PB	Flyvector	95
466	Cf2-PB_SOLEXA_FBgn0000286	Cf2-PB	Flyvector	95
467	CG10267_SANGER_5_FBgn0037446	CG10267	Flyvector	
468	CG10267_SOLEXA_5_FBgn0037446	CG10267	Flyvector	
469	CG10904_SANGER_5_FBgn0034945	CG10904	Flyvector	
470	CG11071_SANGER_5_FBgn0030532	CG11071	Flyvector	
471	CG11071_SOLEXA_FBgn0030532	CG11071	Flyvector	
472	CG11085_Cell_FBgn0030408	CG11085	Flyvector	463
473	CG11085_SOLEXA_FBgn0030408	CG11085	Flyvector	463
474	CG11294_Cell_FBgn0030058	CG11294	Flyvector	562
475	CG11294_SOLEXA_FBgn0030058	CG11294	Flyvector	562
476	CG11504_SANGER_5_FBgn0039733	CG11504	Flyvector	
477	CG11617_Cell_FBgn0031232	CG11617	Flyvector	612
478	CG11617_SOLEXA_FBgn0031232	CG11617	Flyvector	612
479	CG12029_SANGER_10_FBgn0035454	CG12029	Flyvector	
480	CG12029_SOLEXA_5_FBgn0035454	CG12029	Flyvector	
481	CG12155_SANGER_5_FBgn0029957	CG12155	Flyvector	
482	CG12236-PB_SANGER_2.5_FBgn0029822	CG12236-PB	Flyvector	181
483	CG12236-PB_SOLEXA_FBgn0029822	CG12236-PB	Flyvector	181
484	CG12236_SANGER_10_FBgn0029822	CG12236	Flyvector	181
485	CG12236_SOLEXA_5_FBgn0029822	CG12236	Flyvector	181
486	CG12361_Cell_FBgn0250756	CG12361	Flyvector	
487	CG12361_SOLEXA_2_FBgn0250756	CG12361	Flyvector	
488	CG12361_SOLEXA_FBgn0250756	CG12361	Flyvector	
489	CG12605_SANGER_10_FBgn0035481	CG12605	Flyvector	184
490	CG12605_SOLEXA_5_FBgn0035481	CG12605	Flyvector	184
491	CG12768_SANGER_5_FBgn0037206	CG12768	Flyvector	
492	CG13424_Cell_FBgn0034520	CG13424	Flyvector	
493	CG13424_SOLEXA_2_FBgn0034520	CG13424	Flyvector	
494	CG13424_SOLEXA_FBgn0034520	CG13424	Flyvector	
495	CG13897_SANGER_5_FBgn0035160	CG13897	Flyvector	
496	CG14962_SANGER_5_FBgn0035407	CG14962	Flyvector	
497	CG14962_SOLEXA_5_FBgn0035407	CG14962	Flyvector	
498	CG15601_SANGER_5_FBgn0030673	CG15601	Flyvector	
499	CG15696_Cell_FBgn0038833	CG15696	Flyvector	464
500	CG15696_SOLEXA_FBgn0038833	CG15696	Flyvector	464
501	CG1621_SANGER_5_FBgn0033182	CG1621	Flyvector	
502	CG16778_SANGER_5_FBgn0003715	CG16778	Flyvector	
503	CG16899_SANGER_5_FBgn0037735	CG16899	Flyvector	
504	CG17181_SANGER_5_FBgn0035144	CG17181	Flyvector	
505	CG17181_SOLEXA_5_FBgn0035144	CG17181	Flyvector	
506	CG18599_Cell_FBgn0038592	CG18599	Flyvector	465
507	CG18599_SOLEXA_FBgn0038592	CG18599	Flyvector	465
508	CG2052_SANGER_2.5_FBgn0039905	CG2052	Flyvector	
509	CG2052_SOLEXA_2.5_FBgn0039905	CG2052	Flyvector	
510	CG3065_F1-3_SANGER_2.5_FBgn0034946	CG3065	Flyvector	114
511	CG3065_F1-3_SOLEXA_2.5_FBgn0034946	CG3065	Flyvector	114
512	CG3065_F1-5_SOLEXA_2.5_FBgn0034946	CG3065	Flyvector	114
513	CG31670_SANGER_5_FBgn0031375	CG31670	Flyvector	
514	CG31670_SOLEXA_5_FBgn0031375	CG31670	Flyvector	
515	CG31782-F9-11_SOLEXA_FBgn0051782	CG31782-F9-11	Flyvector	
