438	GATA2	2.2.1.1.2	ENCODE
439	GATA3	2.2.1.1.3	ENCODE
440	GATA4	2.2.1.1.4	ENCODE
441	GATAD2B	2.2.1.2.3	ENCODE
442	GFI1B	2.3.3.21.2	ENCODE
443	GLI2	2.3.3.1.2	ENCODE
444	GLI4	2.3.3.10.4	ENCODE
445	GLIS1	2.3.3.1.4	ENCODE
446	GLIS2	2.3.3.1.5	ENCODE
447	GMEB1	5.3.3.1.1	ENCODE
448	GMEB2	5.3.3.1.2	ENCODE
449	GTF2B		ENCODE
450	GTF3C2		ENCODE
451	HBP1	4.1.1.9.2	ENCODE
452	HES1	1.2.4.1.1	ENCODE
453	HES2	1.2.4.1.2	GGR
454	HHEX	3.1.2.8.1	ENCODE
455	HIC1	2.3.4.17.1	ENCODE
456	HINFP	2.3.4.21.1	ENCODE
457	HLF	1.1.8.2.2	ENCODE
458	HMBOX1	3.1.10.7.3	ENCODE
459	HMG20A	4.1.2.0.6	ENCODE
460	HMG20B	4.1.2.0.7	ENCODE
461	HMGXB4	4.1.4.0.2	ENCODE
462	HNF1A	3.1.10.7.1	ENCODE
463	HNF4A	2.1.3.2.1	ENCODE
464	HNF4G	2.1.3.2.2	ENCODE
465	HNRNPK		ENCODE
466	HOMEZ	3.1.8.5.4	ENCODE
467	HSF1	3.4.1.0.1	ENCODE
468	ID3	1.2.8.0.3	ENCODE
469	IKZF1	2.3.4.4.1	ENCODE
470	IKZF2	2.3.4.4.2	ENCODE
471	IKZF3	2.3.4.4.3	ENCODE
472	IKZF5	2.3.4.4.5	ENCODE
473	ILK		ENCODE
474	INSM2	2.3.4.16.2	ENCODE
475	IRF1	3.5.3.0.1	ENCODE
476	IRF2	3.5.3.0.2	ENCODE
477	IRF3	3.5.3.0.3	ENCODE
478	IRF4	3.5.3.0.4	ENCODE
479	IRF5	3.5.3.0.5	ENCODE
480	IRF9	3.5.3.0.9	ENCODE
481	JUN	1.1.1.1.1	ENCODE::GGR
482	JUND	1.1.1.1.3	ENCODE
483	KDM6A		ENCODE
484	KLF1	2.3.1.2.1	ENCODE
485	KLF10	2.3.1.2.10	ENCODE
486	KLF11	2.3.1.2.11	ENCODE
487	KLF13	2.3.1.2.13	ENCODE
488	KLF14	2.3.1.2.14	ENCODE
489	KLF16	2.3.1.2.16	ENCODE
490	KLF17	2.3.1.2.17	ENCODE
491	KLF4	2.3.1.2.4	ENCODE
492	KLF5	2.3.1.2.5	ENCODE
493	KLF6	2.3.1.2.6	ENCODE
494	KLF7	2.3.1.2.7	ENCODE
495	KLF8	2.3.1.2.8	ENCODE
496	KLF9	2.3.1.2.9	ENCODE
497	LCORL		ENCODE
498	LEF1	4.1.3.0.4	ENCODE
499	MAFF	1.1.3.2.1	ENCODE
500	MAFG	1.1.3.2.2	ENCODE
501	MAFK	1.1.3.2.3	ENCODE
502	MAX	1.2.6.5.5	ENCODE
503	MAZ	2.3.4.8.1	ENCODE
504	MBD1	2.6.1.0.2	ENCODE
505	MEF2A	5.1.1.1.1	ENCODE
506	MEF2B	5.1.1.1.2	ENCODE
507	MEF2C	5.1.1.1.3	ENCODE
508	MEF2D	5.1.1.1.4	ENCODE
509	MEIS2	3.1.4.2.2	ENCODE
510	MGA	6.5.5.0.2	ENCODE
