2020-05-29 09:38:50.416012	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&files.file_type=bed+narrowPeak&field=%40id&field=accession&field=target.label&field=target.genes.symbol&field=dbxrefs&replicates.library.biosample.donor.organism.scientific_name=Drosophila+melanogaster&award.rfa=modERN&limit=all
ID	Accession	Target of assay	Target gene symbol	External resources
/experiments/ENCSR596YNC/	ENCSR596YNC	Crg-1	Crg-1	FactorBook:ENCSR596YNC
/experiments/ENCSR138MDE/	ENCSR138MDE	Rel	Rel	FactorBook:ENCSR138MDE
/experiments/ENCSR290OJD/	ENCSR290OJD	Stat92E	Stat92E	FactorBook:ENCSR290OJD
/experiments/ENCSR165KWP/	ENCSR165KWP	CG17802	CG17802	FactorBook:ENCSR165KWP
/experiments/ENCSR492FKR/	ENCSR492FKR	Blimp-1	Blimp-1	FactorBook:ENCSR492FKR
/experiments/ENCSR202QJA/	ENCSR202QJA	Sox15	Sox15	FactorBook:ENCSR202QJA
/experiments/ENCSR119OUI/	ENCSR119OUI	twi	twi	FactorBook:ENCSR119OUI
/experiments/ENCSR327ZQL/	ENCSR327ZQL	CG18599	CG18599	FactorBook:ENCSR327ZQL
/experiments/ENCSR443NTZ/	ENCSR443NTZ	CG2712	CG2712	FactorBook:ENCSR443NTZ
/experiments/ENCSR295UVI/	ENCSR295UVI	nom	nom	FactorBook:ENCSR295UVI
/experiments/ENCSR219AHM/	ENCSR219AHM	CG9139	Rabex-5	FactorBook:ENCSR219AHM
/experiments/ENCSR904GFO/	ENCSR904GFO	Clk	Clk	FactorBook:ENCSR904GFO
/experiments/ENCSR869ZGG/	ENCSR869ZGG	TFAM	TFAM	FactorBook:ENCSR869ZGG
/experiments/ENCSR292EYZ/	ENCSR292EYZ	lola	lola	FactorBook:ENCSR292EYZ
/experiments/ENCSR012MXT/	ENCSR012MXT	Nf-YC	Nf-YC	FactorBook:ENCSR012MXT
/experiments/ENCSR263AYM/	ENCSR263AYM	CG3281	CG3281	FactorBook:ENCSR263AYM
/experiments/ENCSR469KTM/	ENCSR469KTM	gem	gem	FactorBook:ENCSR469KTM
/experiments/ENCSR796JXT/	ENCSR796JXT	CG11723	CG11723	FactorBook:ENCSR796JXT
/experiments/ENCSR532BHA/	ENCSR532BHA	CrebB	CrebB	FactorBook:ENCSR532BHA
/experiments/ENCSR900TNL/	ENCSR900TNL	cwo	cwo	FactorBook:ENCSR900TNL
/experiments/ENCSR978CMG/	ENCSR978CMG	esn	esn	FactorBook:ENCSR978CMG
